id;clave;valor;fecha_inicio;fecha_fin;usuario
1;District SDD initiative;28614;2020-12-20T12:15:39;2020-12-20T06:11:33;global capacitor
2;parsing front-end View;4531;2020-12-20T10:35:20;2020-12-20T09:46:24;Re-contextualized
3;secured line sensor;89750;2020-12-20T05:20:35;2020-12-19T16:05:15;parse
4;sky blue Wooden 1080p;38182;2020-12-19T22:25:43;2020-12-19T19:19:09;web-enabled program silver
5;Utah;48598;2020-12-19T21:44:18;2020-12-20T08:45:11;holistic
6;uniform;38472;2020-12-19T16:28:24;2020-12-19T21:12:59;back up Aruba Refined
7;Arizona Handmade;47895;2020-12-20T09:07:09;2020-12-19T21:23:36;Gorgeous
8;Lane Borders Fully-configurable;27945;2020-12-20T09:52:45;2020-12-20T01:31:06;Shoes Unbranded extensible
9;Nakfa;89210;2020-12-19T21:44:59;2020-12-20T11:27:41;Granite
10;Home Loan Account content Steel;10564;2020-12-19T18:34:15;2020-12-19T18:03:58;Incredible
