id;clave;descripcion;moral;fisica;isr;iva;rfnorte;rfsur;s_01;s_02;s_03;s_04;fecha;usuario
1;primary input Borders;program Cedi;31914;14121;0;0;0;0;1;0;0;1;2020-12-19T23:03:56;Chief SCSI
2;Accountability e-enable;Avon invoice;95979;91318;1;1;0;1;1;0;0;0;2020-12-20T13:25:12;Savings Account Auto Loan Account
3;non-volatile pink;white Incredible Frozen Keyboard Berkshire;23621;58344;0;1;1;0;1;1;1;0;2020-12-20T14:18:31;modular red executive
4;Trace Borders;Burundi Franc Kwacha Licensed Cotton Mouse;20314;97957;0;0;0;0;1;0;0;0;2020-12-20T13:12:22;Prairie Borders
5;Engineer;Saint Lucia;42247;94958;1;1;1;0;0;0;1;0;2020-12-19T19:10:17;Bulgaria Agent
6;maximize;HDD hub;15292;7792;1;0;1;0;1;0;1;0;2020-12-20T06:05:37;bluetooth Concrete calculating
7;Movies Frozen Handcrafted;Baht;56456;65670;0;0;1;1;1;0;1;0;2020-12-20T06:15:43;communities
8;Fish payment;envisioneer withdrawal;99890;52849;0;1;1;1;1;0;1;0;2020-12-19T16:29:30;Quality
9;Michigan infrastructures implement;Sleek;3625;24139;0;0;0;1;1;0;0;0;2020-12-20T09:14:28;Distributed
10;Colombia invoice;bypassing;8633;17308;1;0;0;1;1;1;0;1;2020-12-20T12:12:16;USB
