id;clave;descripcion;fecha_inicio;fecha_fin;usuario
1;Pennsylvania Keyboard;even-keeled knowledge base Computers;2020-12-19T18:37:05;2020-12-20T02:08:32;Awesome
2;vertical;cultivate;2020-12-19T18:09:38;2020-12-20T02:55:43;supply-chains Spurs Rustic
3;red;Solutions Washington;2020-12-20T03:28:35;2020-12-20T14:05:25;hacking CSS Borders
4;Indiana bandwidth;e-commerce tan;2020-12-20T05:45:27;2020-12-19T17:59:30;Wooden Fresh
5;Concrete;Graphical User Interface Bedfordshire architect;2020-12-19T15:48:21;2020-12-20T14:00:39;compelling target Nebraska
6;Chicken Lead;reboot Chips;2020-12-20T14:13:12;2020-12-20T03:21:34;Bedfordshire port
7;Unbranded Granite Ball bus;mobile Director Jamaican Dollar;2020-12-19T21:58:17;2020-12-20T13:35:17;Checking Account lime Director
8;interface regional Down-sized;Books Cayman Islands;2020-12-20T00:56:09;2020-12-20T04:49:50;Chicken Orchestrator
9;Functionality JSON;relationships transmitting Fantastic Rubber Table;2020-12-19T17:58:33;2020-12-19T22:19:52;Bedfordshire strategize Orchestrator
10;Soft Books white;Customizable Chilean Peso Unidades de fomento;2020-12-20T00:49:08;2020-12-20T03:55:47;alarm calculating
