id;clave;descripcion;isr;iva;efirma;fecha_inicio;fecha_fin;usuario
1;Assimilated Division Missouri;online Mills Accounts;1;1;0;2020-12-20T11:04:02;2020-12-20T04:57:37;Beauty Fantastic Soft Bike
2;Money Market Account Kids Principal;Generic fuchsia Savings Account;1;1;0;2020-12-20T09:16:47;2020-12-19T23:24:07;protocol Fall
3;IB;black;1;1;0;2020-12-19T17:44:33;2020-12-19T16:12:20;Tennessee override
4;matrix AI reboot;Gambia interface;1;1;0;2020-12-19T19:19:32;2020-12-20T13:08:15;Alaska
5;alarm;schemas microchip;1;1;1;2020-12-20T13:59:30;2020-12-20T01:09:42;approach
6;withdrawal Rubber auxiliary;Checking Account Customer microchip;0;0;0;2020-12-20T11:58:35;2020-12-19T20:34:21;Configuration
7;SQL Fantastic Granite Soap;Generic Soft Mouse Metal core;0;1;0;2020-12-20T10:47:31;2020-12-19T16:55:35;Cotton
8;quantifying Optional well-modulated;Investment Account Egypt multi-state;0;1;1;2020-12-20T12:59:09;2020-12-19T23:27:59;Rufiyaa Checking Account Kina
9;Corporate Indiana;Kip;0;1;0;2020-12-20T03:38:11;2020-12-19T23:24:34;Lari
10;payment whiteboard West Virginia;Guinea Franc 1080p Zimbabwe;0;0;1;2020-12-20T04:43:34;2020-12-20T11:11:23;mobile directional
