id;clave;descripcion;moral;fisica;isr;iva;usuario
1;cyan;compressing Internal Steel;1;0;1;1;programming parsing sky blue
2;unleash disintermediate Pizza;upward-trending Towels Garden;0;0;1;0;Home Loan Account Port
3;compressing Frozen Alabama;Bypass;1;0;1;0;Rubber Fundamental
4;Rubber Fantastic;Money Market Account copy Metal;1;1;0;1;Cambridgeshire workforce Berkshire
5;Strategist;magenta Saint Lucia;0;1;0;0;open system analyzing
6;orchid Georgia envisioneer;extend program Web;1;1;1;0;Bedfordshire Towels
7;Intelligent;Towels Keyboard;0;0;1;0;Future-proofed auxiliary Rubber
8;Tactics;panel;1;1;1;0;leverage THX
9;Industrial Avon Forge;enhance redundant;1;1;0;0;Montana
10;Division Bedfordshire District;e-business Dynamic;0;1;0;1;Forward
